,date,temp_min,temp_max,is_rain
185,2018-07-05,90,113,False
186,2018-07-06,84,113,False
187,2018-07-07,84,111,False
188,2018-07-08,84,111,False
189,2018-07-09,86,113,False
190,2018-07-10,82,113,False
191,2018-07-11,0,111,False
192,2018-07-12,0,115,False
193,2018-07-13,88,113,False
194,2018-07-14,88,111,False
195,2018-07-15,88,113,False
196,2018-07-16,88,111,False
197,2018-07-17,82,109,False
198,2018-07-18,84,106,False
199,2018-07-19,82,106,False
200,2018-07-20,84,108,False
201,2018-07-21,84,108,False
202,2018-07-22,82,109,False
203,2018-07-23,82,108,False
204,2018-07-24,84,108,False
205,2018-07-25,82,108,False
206,2018-07-26,84,108,False
207,2018-07-27,91,108,False
208,2018-07-28,90,109,False
209,2018-07-29,84,109,False
210,2018-07-30,95,109,False
211,2018-07-31,84,111,False
212,2018-08-01,84,109,False
213,2018-08-02,82,108,False
214,2018-08-03,81,108,False
215,2018-08-04,84,108,False
216,2018-08-05,88,113,False
217,2018-08-06,88,109,False
218,2018-08-07,86,109,False
219,2018-08-08,88,109,False
220,2018-08-09,86,108,False
221,2018-08-10,86,108,False
222,2018-08-11,82,108,False
223,2018-08-12,79,109,False
224,2018-08-13,81,108,False
225,2018-08-14,81,106,False
226,2018-08-15,81,108,False
227,2018-08-16,79,108,False
228,2018-08-17,79,109,False
229,2018-08-18,81,109,False
230,2018-08-19,81,109,False
231,2018-08-20,75,109,False
232,2018-08-21,81,108,False
233,2018-08-22,82,109,False
234,2018-08-23,82,108,False
235,2018-08-24,81,109,False
236,2018-08-25,82,111,False
237,2018-08-26,82,111,False
238,2018-08-27,90,90,False
239,2018-08-28,82,109,False
240,2018-08-29,82,108,False
241,2018-08-30,82,106,False
242,2018-08-31,84,109,False
243,2018-09-01,82,111,False
244,2018-09-02,82,109,False
245,2018-09-03,81,111,False
246,2018-09-04,82,113,False
247,2018-09-05,86,113,False
248,2018-09-06,84,109,False
249,2018-09-07,81,106,False
250,2018-09-08,81,109,False
251,2018-09-09,79,108,False
252,2018-09-10,82,108,False
253,2018-09-11,84,106,False
254,2018-09-12,81,106,False
255,2018-09-13,81,109,False
256,2018-09-14,82,111,False
257,2018-09-15,82,111,False
258,2018-09-16,81,106,False
259,2018-09-17,81,108,False
260,2018-09-18,81,108,False
261,2018-09-19,77,106,False
262,2018-09-20,81,108,False
263,2018-09-21,79,106,False
264,2018-09-22,81,106,False
265,2018-09-23,79,106,False
266,2018-09-24,77,106,False
267,2018-09-25,79,106,False
268,2018-09-26,79,106,False
269,2018-09-27,79,102,False
270,2018-09-28,73,102,False
271,2018-09-29,75,106,False
272,2018-09-30,73,100,False
273,2018-10-01,73,99,False
274,2018-10-02,75,99,False
275,2018-10-03,72,99,False
276,2018-10-04,70,102,False
277,2018-10-05,73,100,False
278,2018-10-06,72,102,False
279,2018-10-07,73,102,False
280,2018-10-08,77,97,False
281,2018-10-09,68,99,False
282,2018-10-10,70,102,False
283,2018-10-11,72,100,False
284,2018-10-12,70,97,False
285,2018-10-13,73,99,False
286,2018-10-14,70,95,False
287,2018-10-15,68,93,False
288,2018-10-16,68,93,False
289,2018-10-17,68,93,False
290,2018-10-18,72,91,False
291,2018-10-19,70,90,False
292,2018-10-20,70,90,True
293,2018-10-21,68,86,False
294,2018-10-22,73,91,False
295,2018-10-23,72,91,False
296,2018-10-24,73,91,False
297,2018-10-25,73,95,False
298,2018-10-26,77,91,False
299,2018-10-27,72,90,False
300,2018-10-28,63,72,True
301,2018-10-29,61,70,True
302,2018-10-30,61,77,False
303,2018-10-31,61,81,False
304,2018-11-01,61,79,False
305,2018-11-02,61,81,False
306,2018-11-03,61,82,False
307,2018-11-04,66,81,True
308,2018-11-05,66,88,False
309,2018-11-06,68,88,False
310,2018-11-07,63,84,True
311,2018-11-08,66,68,True
312,2018-11-09,63,73,True
313,2018-11-10,63,75,True
314,2018-11-11,66,81,False
315,2018-11-12,66,79,True
316,2018-11-13,64,75,False
317,2018-11-14,64,79,False
318,2018-11-15,64,90,False
319,2018-11-16,68,79,False
320,2018-11-17,64,75,False
321,2018-11-18,59,73,False
322,2018-11-19,57,77,False
323,2018-11-20,57,73,False
324,2018-11-21,57,75,False
325,2018-11-22,59,79,False
326,2018-11-23,61,70,True
327,2018-11-24,59,82,True
328,2018-11-25,61,79,False
329,2018-11-26,54,68,False
330,2018-11-27,52,68,False
331,2018-11-28,54,70,False
332,2018-11-29,54,77,False
333,2018-11-30,57,79,False
334,2018-12-01,59,77,False
335,2018-12-02,57,81,False
336,2018-12-03,55,75,False
337,2018-12-04,54,73,False
338,2018-12-05,59,77,False
339,2018-12-06,66,68,False
340,2018-12-07,55,77,False
341,2018-12-08,55,73,False
342,2018-12-09,59,79,False
343,2018-12-10,59,81,False
344,2018-12-11,61,72,False
345,2018-12-12,57,73,False
346,2018-12-13,59,75,False
347,2018-12-14,59,75,False
348,2018-12-15,55,63,True
349,2018-12-16,50,70,False
350,2018-12-17,52,72,False
351,2018-12-18,55,77,False
352,2018-12-19,54,64,False
353,2018-12-20,54,77,False
354,2018-12-21,52,70,False
355,2018-12-22,54,64,False
356,2018-12-23,48,66,False
357,2018-12-24,46,68,False
358,2018-12-25,48,70,False
359,2018-12-26,48,70,False
360,2018-12-27,50,73,False
361,2018-12-28,54,79,False
362,2018-12-29,52,66,False
363,2018-12-30,50,66,False
364,2018-12-31,54,70,False
365,2019-01-01,48,68,False
366,2019-01-02,55,82,False
367,2019-01-03,59,82,False
368,2019-01-04,54,66,False
369,2019-01-05,48,72,False
370,2019-01-06,55,79,False
371,2019-01-07,55,79,False
372,2019-01-08,52,72,False
373,2019-01-09,57,75,False
374,2019-01-10,48,63,False
375,2019-01-11,45,63,False
376,2019-01-12,45,68,False
377,2019-01-13,52,75,False
378,2019-01-14,57,81,False
379,2019-01-15,52,79,False
380,2019-01-16,61,82,False
381,2019-01-17,54,72,False
382,2019-01-18,45,63,False
383,2019-01-19,43,63,False
384,2019-01-20,41,61,False
385,2019-01-21,43,66,False
386,2019-01-22,46,77,False
387,2019-01-23,50,79,False
388,2019-01-24,52,81,False
389,2019-01-25,57,82,False
390,2019-01-26,55,84,False
391,2019-01-27,64,81,False
392,2019-01-28,63,81,True
393,2019-01-29,55,66,True
394,2019-01-30,52,70,False
395,2019-01-31,55,84,False
396,2019-02-01,59,86,False
397,2019-02-02,59,86,False
398,2019-02-03,54,68,False
399,2019-02-04,48,68,False
400,2019-02-05,46,68,False
401,2019-02-06,46,68,False
402,2019-02-07,41,70,False
403,2019-02-08,55,75,False
404,2019-02-09,59,79,False
405,2019-02-10,61,75,False
406,2019-02-11,52,70,True
407,2019-02-12,48,64,False
408,2019-02-13,43,66,False
409,2019-02-14,50,73,False
410,2019-02-15,61,82,False
411,2019-02-16,57,72,False
412,2019-02-17,50,68,False
413,2019-02-18,48,68,False
414,2019-02-19,50,68,False
415,2019-02-20,43,66,False
416,2019-02-21,43,68,False
417,2019-02-22,57,68,False
418,2019-02-23,59,79,False
419,2019-02-24,55,82,False
420,2019-02-25,57,73,False
421,2019-02-26,50,77,False
422,2019-02-27,64,82,False
423,2019-02-28,63,84,False
424,2019-03-01,55,66,False
425,2019-03-02,46,70,False
426,2019-03-03,48,70,False
427,2019-03-04,48,73,False
428,2019-03-05,54,75,False
429,2019-03-06,61,73,False
430,2019-03-07,50,73,False
431,2019-03-08,46,77,False
432,2019-03-09,52,70,False
433,2019-03-10,50,73,False
434,2019-03-11,46,77,False
435,2019-03-12,52,79,False
436,2019-03-13,50,81,False
437,2019-03-14,66,88,False
438,2019-03-15,57,77,False
439,2019-03-16,57,79,False
