Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,68,28,23,ENE,2,0,27.91,0.0,Widespread,2018-04-01
1:00,68,28,23,N,2,0,27.91,0.0,Widespread,2018-04-01
2:00,70,27,20,WNW,5,0,27.91,0.0,Widespread,2018-04-01
3:00,68,28,23,WNW,3,0,27.89,0.0,Widespread,2018-04-01
4:00,66,30,26,ESE,2,0,27.86,0.0,Fair,2018-04-01
5:00,66,30,26,E,3,0,27.89,0.0,Fair,2018-04-01
6:00,66,30,26,S,3,0,27.89,0.0,Fair,2018-04-01
7:00,68,28,23,E,6,0,27.86,0.0,Fair,2018-04-01
8:00,70,28,21,NNW,3,0,27.94,0.0,Fair,2018-04-01
9:00,72,28,20,NNW,3,0,27.94,0.0,Cloudy,2018-04-01
10:00,72,28,20,NE,10,0,27.94,0.0,Cloudy,2018-04-01
11:00,73,28,19,N,3,0,27.97,0.0,Cloudy,2018-04-01
12:00,75,28,18,N,12,0,27.94,0.0,Cloudy,2018-04-01
1:00,79,30,17,NNW,10,0,27.94,0.0,Cloudy,2018-04-01
2:00,81,37,21,NNE,9,0,27.86,0.0,Mostly,2018-04-01
3:00,82,37,20,N,16,0,27.86,0.0,Mostly,2018-04-01
4:00,81,39,23,NNE,10,0,27.86,0.0,Mostly,2018-04-01
5:00,81,39,23,NE,5,0,27.89,0.0,Mostly,2018-04-01
6:00,79,39,24,E,7,0,27.86,0.0,Mostly,2018-04-01
7:00,77,39,26,NNE,6,0,27.89,0.0,Mostly,2018-04-01
8:00,77,39,26,NNE,6,0,27.89,0.0,Mostly,2018-04-01
9:00,77,39,26,ESE,15,0,27.83,0.0,Mostly,2018-04-01
10:00,75,37,25,ESE,6,0,27.86,0.0,Thunder,2018-04-01
10:06,75,37,25,SW,8,0,27.89,0.0,T-Storm,2018-04-01
10:27,73,41,31,ESE,5,0,27.86,0.0,Mostly,2018-04-01
11:00,73,41,31,S,6,0,27.86,0.0,Drizzle,2018-04-01
12:00,73,39,29,SSE,3,0,27.86,0.0,Mostly,2018-04-02
1:00,75,36,24,S,8,0,27.86,0.0,Mostly,2018-04-02
2:00,73,36,25,S,6,0,27.86,0.0,Mostly,2018-04-02
3:00,73,36,25,NNW,7,0,27.89,0.0,Mostly,2018-04-02
4:00,70,39,33,N,3,0,27.86,0.0,Mostly,2018-04-02
5:00,68,37,33,N,3,0,27.86,0.0,Mostly,2018-04-02
6:00,70,37,31,N,3,0,27.86,0.0,Mostly,2018-04-02
7:00,68,37,33,NNE,3,0,27.89,0.0,Cloudy,2018-04-02
8:00,70,39,33,WSW,2,0,27.91,0.0,Cloudy,2018-04-02
9:00,77,37,24,CALM,0,0,27.91,0.0,Cloudy,2018-04-02
10:00,75,36,24,E,5,0,27.89,0.0,Cloudy,2018-04-02
11:00,81,34,18,S,7,0,27.89,0.0,Cloudy,2018-04-02
12:00,84,34,16,S,8,0,27.89,0.0,Mostly,2018-04-02
1:00,86,34,15,SSE,7,0,27.86,0.0,Mostly,2018-04-02
2:00,88,37,17,S,5,0,27.86,0.0,Fair,2018-04-02
3:00,88,34,15,SE,7,0,27.83,0.0,Fair,2018-04-02
4:00,88,34,15,SE,8,0,27.83,0.0,Fair,2018-04-02
5:00,86,36,17,SSE,7,0,27.83,0.0,Fair,2018-04-02
6:00,84,36,18,ESE,9,0,27.83,0.0,Fair,2018-04-02
7:00,82,36,19,SSE,3,0,27.86,0.0,Fair,2018-04-02
8:00,81,36,20,E,6,0,27.83,0.0,Fair,2018-04-02
9:00,79,34,20,E,12,0,27.86,0.0,Fair,2018-04-02
10:00,77,32,19,SE,10,0,27.89,0.0,Fair,2018-04-02
11:00,75,34,22,ESE,9,0,27.89,0.0,Fair,2018-04-02
12:00,73,32,22,SSE,5,0,27.91,0.0,Fair,2018-04-03
1:00,75,34,22,SSE,5,0,27.91,0.0,Fair,2018-04-03
2:00,73,34,23,SSE,5,0,27.89,0.0,Fair,2018-04-03
3:00,75,34,22,S,6,0,27.89,0.0,Fair,2018-04-03
4:00,73,34,23,SSE,3,0,27.89,0.0,Fair,2018-04-03
5:00,73,34,23,SE,5,0,27.86,0.0,Fair,2018-04-03
6:00,73,34,23,S,8,0,27.86,0.0,Fair,2018-04-03
7:00,75,34,22,S,9,0,27.89,0.0,Cloudy,2018-04-03
