Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,48,16,27,CALM,0,0,28.11,0.0,Fair,2018-02-01
1:00,46,18,32,CALM,0,0,28.11,0.0,Fair,2018-02-01
2:00,46,16,29,CALM,0,0,28.11,0.0,Fair,2018-02-01
3:00,43,14,31,CALM,0,0,28.11,0.0,Fair,2018-02-01
4:00,43,16,34,CALM,0,0,28.11,0.0,Fair,2018-02-01
5:00,43,16,34,CALM,0,0,28.11,0.0,Fair,2018-02-01
6:00,41,14,33,CALM,0,0,28.13,0.0,Fair,2018-02-01
7:00,41,19,42,CALM,0,0,28.16,0.0,Fair,2018-02-01
8:00,45,18,34,CALM,0,0,28.16,0.0,Fair,2018-02-01
9:00,54,21,28,CALM,0,0,28.19,0.0,Fair,2018-02-01
10:00,57,23,27,SE,3,0,28.19,0.0,Fair,2018-02-01
11:00,59,23,25,SE,5,0,28.16,0.0,Fair,2018-02-01
12:00,63,21,20,SSE,3,0,28.13,0.0,Fair,2018-02-01
1:00,64,18,16,ESE,3,0,28.13,0.0,Fair,2018-02-01
2:00,64,18,16,NE,5,0,28.11,0.0,Fair,2018-02-01
3:00,66,18,15,NNE,5,0,28.08,0.0,Fair,2018-02-01
4:00,66,16,14,E,3,0,28.08,0.0,Fair,2018-02-01
5:00,64,18,16,ENE,5,0,28.08,0.0,Fair,2018-02-01
6:00,61,21,22,E,3,0,28.11,0.0,Fair,2018-02-01
7:00,59,19,22,E,5,0,28.11,0.0,Fair,2018-02-01
8:00,57,19,23,NE,6,0,28.13,0.0,Fair,2018-02-01
9:00,55,19,25,ENE,5,0,28.13,0.0,Fair,2018-02-01
10:00,54,19,26,CALM,0,0,28.13,0.0,Fair,2018-02-01
11:00,52,19,28,E,3,0,28.13,0.0,Fair,2018-02-01
12:00,50,21,32,CALM,0,0,28.13,0.0,Fair,2018-02-02
1:00,46,19,34,CALM,0,0,28.13,0.0,Fair,2018-02-02
2:00,46,18,32,CALM,0,0,28.13,0.0,Fair,2018-02-02
3:00,46,18,32,WNW,5,0,28.13,0.0,Fair,2018-02-02
4:00,45,18,34,NW,3,0,28.13,0.0,Fair,2018-02-02
5:00,45,18,34,WNW,3,0,28.13,0.0,Fair,2018-02-02
6:00,43,18,36,W,3,0,28.13,0.0,Fair,2018-02-02
7:00,41,19,42,CALM,0,0,28.16,0.0,Fair,2018-02-02
8:00,46,19,34,WSW,2,0,28.19,0.0,Fair,2018-02-02
9:00,55,25,31,W,3,0,28.19,0.0,Fair,2018-02-02
10:00,61,23,23,CALM,0,0,28.19,0.0,Fair,2018-02-02
11:00,64,19,18,N,5,0,28.19,0.0,Fair,2018-02-02
12:00,64,21,19,NNE,10,0,28.16,0.0,Fair,2018-02-02
1:00,64,19,18,N,6,0,28.13,0.0,Fair,2018-02-02
2:00,68,18,15,NNE,12,0,28.11,0.0,Fair,2018-02-02
3:00,66,16,14,NNE,12,0,28.08,0.0,Fair,2018-02-02
4:00,66,18,15,NNE,13,0,28.08,0.0,Fair,2018-02-02
5:00,66,16,14,NNE,13,0,28.11,0.0,Fair,2018-02-02
6:00,63,19,19,NNE,8,0,28.11,0.0,Fair,2018-02-02
7:00,61,19,20,NNE,7,0,28.13,0.0,Fair,2018-02-02
8:00,57,21,25,NNE,7,0,28.16,0.0,Fair,2018-02-02
