Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,61,30,31,SE,5,0,27.91,0.0,Fair,2020-02-01
1:00,57,28,33,SSE,7,0,27.91,0.0,Fair,2020-02-01
2:00,57,34,41,SSE,5,0,27.89,0.0,Fair,2020-02-01
3:00,59,30,34,SSE,6,0,27.86,0.0,Fair,2020-02-01
4:00,61,28,29,S,8,0,27.89,0.0,Fair,2020-02-01
5:00,61,28,29,S,8,0,27.89,0.0,Fair,2020-02-01
6:00,59,28,31,S,7,0,27.89,0.0,Fair,2020-02-01
7:00,59,30,34,S,6,0,27.91,0.0,Fair,2020-02-01
8:00,59,34,39,SSE,3,0,27.94,0.0,Fair,2020-02-01
9:00,64,28,26,S,10,0,27.94,0.0,Fair,2020-02-01
10:00,68,32,26,W,6,0,27.97,0.0,Fair,2020-02-01
11:00,72,32,23,NNW,14,0,27.97,0.0,Partly,2020-02-01
12:00,72,30,22,NNW,14,0,27.94,0.0,Partly,2020-02-01
1:00,72,30,22,N,14,0,27.94,0.0,Fair,2020-02-01
2:00,72,32,23,NNW,12,0,27.91,0.0,Fair,2020-02-01
3:00,68,30,24,NNE,16,0,27.91,0.0,Widespread,2020-02-01
4:00,68,32,26,N,14,0,27.94,0.0,Widespread,2020-02-01
5:00,66,32,28,NNE,13,0,27.94,0.0,Widespread,2020-02-01
6:00,64,32,30,NNE,13,0,27.97,0.0,Widespread,2020-02-01
7:00,61,30,31,NNE,13,0,28.00,0.0,Widespread,2020-02-01
8:00,61,30,31,N,10,0,28.02,0.0,Widespread,2020-02-01
9:00,59,32,36,N,8,0,28.02,0.0,Fair,2020-02-01
10:00,57,32,38,N,5,0,28.02,0.0,Fair,2020-02-01
11:00,55,30,38,N,7,0,28.05,0.0,Fair,2020-02-01
12:00,54,27,35,N,6,0,28.02,0.0,Fair,2020-02-02
1:00,52,25,35,N,7,0,28.02,0.0,Fair,2020-02-02
2:00,50,28,43,NW,3,0,28.02,0.0,Fair,2020-02-02
3:00,50,25,37,NW,7,0,28.02,0.0,Fair,2020-02-02
4:00,48,25,40,NW,7,0,28.02,0.0,Fair,2020-02-02
5:00,48,27,43,W,3,0,28.02,0.0,Fair,2020-02-02
6:00,45,27,49,WNW,3,0,28.08,0.0,Fair,2020-02-02
7:00,45,28,53,CALM,0,0,28.08,0.0,Fair,2020-02-02
8:00,48,28,46,NW,5,0,28.11,0.0,Fair,2020-02-02
9:00,55,28,36,N,2,0,28.13,0.0,Fair,2020-02-02
10:00,57,30,36,ESE,2,0,28.13,0.0,Fair,2020-02-02
11:00,61,30,31,N,3,0,28.11,0.0,Fair,2020-02-02
12:00,61,23,23,E,2,0,28.08,0.0,Fair,2020-02-02
1:00,64,28,26,ENE,5,0,28.05,0.0,Fair,2020-02-02
2:00,66,28,24,ENE,5,0,28.05,0.0,Fair,2020-02-02
3:00,68,25,20,ENE,5,0,28.05,0.0,Fair,2020-02-02
4:00,66,25,21,NNE,6,0,28.05,0.0,Fair,2020-02-02
5:00,66,23,19,NE,5,0,28.05,0.0,Fair,2020-02-02
6:00,64,28,26,ENE,5,0,28.08,0.0,Fair,2020-02-02
7:00,61,28,29,NE,5,0,28.11,0.0,Fair,2020-02-02
8:00,59,28,31,NE,3,0,28.11,0.0,Fair,2020-02-02
9:00,57,28,33,NNE,3,0,28.13,0.0,Fair,2020-02-02
10:00,54,28,38,CALM,0,0,28.13,0.0,Fair,2020-02-02
11:00,50,28,43,CALM,0,0,28.13,0.0,Fair,2020-02-02
12:00,52,28,41,CALM,0,0,28.13,0.0,Fair,2020-02-03
1:00,52,27,38,NW,2,0,28.11,0.0,Fair,2020-02-03
2:00,48,21,34,NW,5,0,28.11,0.0,Fair,2020-02-03
3:00,48,27,43,WNW,5,0,28.11,0.0,Fair,2020-02-03
4:00,46,25,43,NNW,3,0,28.11,0.0,Fair,2020-02-03
5:00,46,25,43,WNW,3,0,28.11,0.0,Fair,2020-02-03
6:00,46,25,43,N,5,0,28.13,0.0,Fair,2020-02-03
7:00,46,27,46,N,5,0,28.16,0.0,Fair,2020-02-03
8:00,48,28,46,W,2,0,28.19,0.0,Fair,2020-02-03
9:00,54,32,44,N,6,0,28.22,0.0,Fair,2020-02-03
10:00,55,30,38,NNE,5,0,28.22,0.0,Fair,2020-02-03
11:00,57,34,41,E,6,0,28.19,0.0,Fair,2020-02-03
