Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,79,48,34,ESE,10,0,27.81,0.0,Fair,2018-05-01
1:00,77,50,39,SE,3,0,27.83,0.0,Fair,2018-05-01
2:00,75,48,38,E,3,0,27.81,0.0,Fair,2018-05-01
3:00,73,46,38,SE,2,0,27.83,0.0,Fair,2018-05-01
4:00,73,43,33,SSE,6,0,27.83,0.0,Fair,2018-05-01
5:00,72,45,38,SE,3,0,27.83,0.0,Fair,2018-05-01
6:00,72,45,38,E,3,0,27.86,0.0,Fair,2018-05-01
7:00,75,46,36,ESE,3,0,27.86,0.0,Fair,2018-05-01
8:00,81,41,24,SE,7,0,27.89,0.0,Fair,2018-05-01
9:00,82,41,23,SE,8,0,27.89,0.0,Fair,2018-05-01
10:00,86,41,20,SSE,9,0,27.91,0.0,Fair,2018-05-01
11:00,90,39,17,SSE,9,0,27.89,0.0,Fair,2018-05-01
12:00,90,37,16,SSE,10,0,27.89,0.0,Fair,2018-05-01
1:00,93,39,15,SSE,10,0,27.86,0.0,Fair,2018-05-01
2:00,93,39,15,SSE,12,0,27.83,0.0,Fair,2018-05-01
3:00,95,39,14,SSE,10,0,27.81,0.0,Fair,2018-05-01
4:00,93,37,14,SSE,13,0,27.81,0.0,Fair,2018-05-01
5:00,93,37,14,SE,13,0,27.78,0.0,Fair,2018-05-01
6:00,93,36,13,SSE,12,0,27.78,0.0,Fair,2018-05-01
7:00,90,36,15,SE,9,0,27.78,0.0,Fair,2018-05-01
8:00,88,36,16,SE,6,0,27.78,0.0,Fair,2018-05-01
9:00,88,37,17,SSE,8,0,27.81,0.0,Fair,2018-05-01
10:00,84,37,19,SSE,5,0,27.83,0.0,Fair,2018-05-01
11:00,82,41,23,E,7,0,27.86,0.0,Partly,2018-05-01
11:05,82,41,23,NW,30,0,27.91,0.0,Duststorm,2018-05-01
11:39,79,48,34,N,21,0,27.91,0.0,Blowing,2018-05-01
12:00,79,48,34,NNE,17,0,27.91,0.0,Blowing,2018-05-02
1:00,77,52,41,NNE,16,0,27.89,0.0,Blowing,2018-05-02
2:00,77,48,36,ENE,10,0,27.86,0.0,Widespread,2018-05-02
3:00,75,45,34,ENE,5,0,27.89,0.0,Widespread,2018-05-02
4:00,75,46,36,ESE,3,0,27.89,0.0,Widespread,2018-05-02
5:00,75,46,36,SSE,5,0,27.86,0.0,Widespread,2018-05-02
5:31,75,45,34,SSE,7,0,27.86,0.0,Widespread,2018-05-02
6:00,75,45,34,SSE,7,0,27.86,0.0,Widespread,2018-05-02
7:00,77,43,29,SE,7,0,27.86,0.0,Widespread,2018-05-02
8:00,81,39,23,SE,8,0,27.89,0.0,Mostly,2018-05-02
9:00,84,39,20,SSE,8,0,27.89,0.0,Mostly,2018-05-02
10:00,86,41,20,SSE,10,0,27.89,0.0,Mostly,2018-05-02
11:00,90,39,17,SSE,9,0,27.89,0.0,Partly,2018-05-02
12:00,93,39,15,S,10,0,27.86,0.0,Fair,2018-05-02
1:00,91,37,15,S,16,0,27.86,0.0,Fair,2018-05-02
2:00,93,37,14,S,14,0,27.83,0.0,Fair,2018-05-02
3:00,93,37,14,SSE,14,0,27.81,0.0,Fair,2018-05-02
4:00,95,36,12,SSE,14,0,27.81,0.0,Fair,2018-05-02
5:00,91,36,14,SSE,15,0,27.78,0.0,Blowing,2018-05-02
6:00,91,36,14,SSE,9,0,27.78,0.0,Widespread,2018-05-02
7:00,88,43,21,NW,21,0,27.83,0.0,Mostly,2018-05-02
8:00,82,46,28,NNW,22,0,27.86,0.0,Mostly,2018-05-02
8:31,79,48,34,WNW,18,0,27.86,0.0,Mostly,2018-05-02
9:00,81,46,30,WNW,20,0,27.89,0.0,Partly,2018-05-02
10:00,79,46,32,W,15,0,27.89,0.0,Partly,2018-05-02
11:00,81,46,30,W,10,0,27.86,0.0,Partly,2018-05-02
12:00,81,43,26,W,9,0,27.86,0.0,Partly,2018-05-03
1:00,82,43,25,SW,8,0,27.83,0.0,Partly,2018-05-03
2:00,84,41,22,WSW,3,0,27.81,0.0,Partly,2018-05-03
3:00,82,41,23,W,3,0,27.81,0.0,Partly,2018-05-03
4:00,81,43,26,S,2,0,27.81,0.0,Partly,2018-05-03
5:00,84,41,22,WNW,21,0,27.81,0.0,Partly,2018-05-03
5:43,82,39,21,WSW,5,0,27.83,0.0,Widespread,2018-05-03
6:00,82,39,21,SW,3,0,27.83,0.0,Widespread,2018-05-03
6:32,82,41,23,SSE,5,0,27.83,0.0,Mostly,2018-05-03
7:00,82,41,23,S,3,0,27.86,0.0,Mostly,2018-05-03
8:00,84,43,23,SE,5,0,27.86,0.0,Fair,2018-05-03
9:00,88,41,19,S,7,0,27.86,0.0,Fair,2018-05-03
10:00,90,41,18,SSW,10,0,27.86,0.0,Fair,2018-05-03
11:00,91,39,16,SSW,8,0,27.83,0.0,Fair,2018-05-03
12:00,93,39,15,SW,8,0,27.81,0.0,Fair,2018-05-03
1:00,95,37,13,SSW,7,0,27.81,0.0,Fair,2018-05-03
2:00,97,37,13,SW,8,0,27.78,0.0,Fair,2018-05-03
3:00,97,36,12,WNW,9,0,27.75,0.0,Fair,2018-05-03
4:00,99,32,10,WNW,8,0,27.75,0.0,Fair,2018-05-03
5:00,97,32,10,NW,12,0,27.75,0.0,Fair,2018-05-03
6:00,95,30,10,NW,10,0,27.75,0.0,Fair,2018-05-03
7:00,93,32,11,NNW,8,0,27.78,0.0,Widespread,2018-05-03
8:00,91,32,12,N,8,0,27.78,0.0,Fair,2018-05-03
9:00,88,34,15,NE,5,0,27.81,0.0,Fair,2018-05-03
10:00,86,39,19,NE,6,0,27.81,0.0,Fair,2018-05-03
11:00,84,41,22,ENE,7,0,27.81,0.0,Fair,2018-05-03
12:00,82,41,23,SE,3,0,27.81,0.0,Fair,2018-05-04
1:00,82,43,25,SE,5,0,27.81,0.0,Fair,2018-05-04
2:00,79,43,28,SSE,2,0,27.81,0.0,Fair,2018-05-04
3:00,77,45,32,CALM,0,0,27.78,0.0,Fair,2018-05-04
4:00,77,46,34,NW,3,0,27.81,0.0,Fair,2018-05-04
5:00,79,45,30,NW,8,0,27.83,0.0,Widespread,2018-05-04
6:00,79,45,30,N,9,0,27.86,0.0,Widespread,2018-05-04
7:00,81,45,28,N,14,0,27.89,0.0,Blowing,2018-05-04
8:00,82,45,26,NNE,9,0,27.89,0.0,Widespread,2018-05-04
9:00,88,43,21,NE,7,0,27.89,0.0,Widespread,2018-05-04
10:00,90,41,18,NNE,7,0,27.89,0.0,Widespread,2018-05-04
11:00,79,52,39,NW,30,0,27.91,0.0,Blowing,2018-05-04
11:21,86,46,25,NNW,26,0,27.89,0.0,Blowing,2018-05-04
12:00,90,43,20,NNE,14,0,27.86,0.0,Blowing,2018-05-04
1:00,91,43,18,N,12,0,27.86,0.0,Mostly,2018-05-04
2:00,91,43,18,N,13,0,27.86,0.0,Mostly,2018-05-04
3:00,90,43,20,NE,9,0,27.81,0.0,Mostly,2018-05-04
4:00,91,43,18,E,7,0,27.81,0.0,Mostly,2018-05-04
5:00,93,39,15,E,6,0,27.81,0.0,Mostly,2018-05-04
6:00,90,46,22,E,3,0,27.81,0.0,Partly,2018-05-04
7:00,88,43,21,NE,6,0,27.81,0.0,Partly,2018-05-04
8:00,86,43,22,ENE,9,0,27.83,0.0,Fair,2018-05-04
9:00,84,43,23,ENE,3,0,27.83,0.0,Fair,2018-05-04
10:00,82,41,23,E,5,0,27.83,0.0,Fair,2018-05-04
11:00,82,43,25,E,2,0,27.86,0.0,Fair,2018-05-04
12:00,82,41,23,E,6,0,27.83,0.0,Fair,2018-05-05
1:00,81,41,24,SE,2,0,27.83,0.0,Fair,2018-05-05
2:00,81,39,23,SE,5,0,27.81,0.0,Fair,2018-05-05
3:00,79,41,26,SE,5,0,27.81,0.0,Fair,2018-05-05
4:00,77,43,29,SSE,5,0,27.81,0.0,Fair,2018-05-05
5:00,77,45,32,E,5,0,27.83,0.0,Partly,2018-05-05
6:00,75,45,34,ESE,3,0,27.86,0.0,Fair,2018-05-05
7:00,79,45,30,S,5,0,27.86,0.0,Fair,2018-05-05
8:00,84,41,22,SSE,5,0,27.89,0.0,Fair,2018-05-05
9:00,86,39,19,SE,7,0,27.89,0.0,Fair,2018-05-05
10:00,88,39,18,SE,8,0,27.89,0.0,Fair,2018-05-05
11:00,91,37,15,SE,8,0,27.86,0.0,Fair,2018-05-05
12:00,93,39,15,SE,12,0,27.86,0.0,Fair,2018-05-05
1:00,95,37,13,SSE,13,0,27.83,0.0,Fair,2018-05-05
2:00,99,41,14,S,13,0,27.81,0.0,Fair,2018-05-05
3:00,99,41,14,S,13,0,27.78,0.0,Fair,2018-05-05
4:00,99,41,14,SSE,9,0,27.75,0.0,Fair,2018-05-05
5:00,99,39,13,SSE,9,0,27.75,0.0,Fair,2018-05-05
6:00,97,41,15,SSE,10,0,27.75,0.0,Fair,2018-05-05
7:00,95,39,14,SSE,10,0,27.75,0.0,Partly,2018-05-05
8:00,93,37,14,SE,7,0,27.75,0.0,Fair,2018-05-05
9:00,91,39,16,SSE,7,0,27.78,0.0,Fair,2018-05-05
10:00,90,39,17,SSE,8,0,27.78,0.0,Fair,2018-05-05
11:00,88,37,17,SSE,5,0,27.78,0.0,Fair,2018-05-05
12:00,86,39,19,ESE,2,0,27.78,0.0,Fair,2018-05-06
1:00,82,41,23,E,3,0,27.78,0.0,Fair,2018-05-06
2:00,82,39,21,ESE,6,0,27.78,0.0,Fair,2018-05-06
3:00,81,39,23,SE,5,0,27.78,0.0,Fair,2018-05-06
4:00,79,39,24,SE,5,0,27.81,0.0,Fair,2018-05-06
5:00,79,39,24,ESE,2,0,27.81,0.0,Fair,2018-05-06
6:00,79,39,24,SSE,7,0,27.83,0.0,Fair,2018-05-06
7:00,82,37,20,SE,5,0,27.83,0.0,Fair,2018-05-06
8:00,86,37,18,SE,7,0,27.86,0.0,Fair,2018-05-06
