Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,64,50,59,SE,3,0,28.02,0.0,Fair,2018-12-01
1:00,63,48,59,SSE,3,0,28.02,0.0,Fair,2018-12-01
2:00,63,45,52,SSE,6,0,28.00,0.0,Fair,2018-12-01
3:00,61,45,55,SSE,5,0,28.00,0.0,Fair,2018-12-01
4:00,61,45,55,SSE,3,0,28.00,0.0,Fair,2018-12-01
6:00,59,48,67,ESE,2,0,28.00,0.0,Fair,2018-12-01
7:00,59,48,67,CALM,0,0,28.02,0.0,Fair,2018-12-01
8:00,61,50,68,SE,2,0,28.02,0.0,Fair,2018-12-01
9:00,66,50,56,SSE,3,0,28.02,0.0,Fair,2018-12-01
10:00,70,48,46,S,9,0,28.02,0.0,Fair,2018-12-01
11:00,72,46,41,S,8,0,28.02,0.0,Fair,2018-12-01
12:00,75,41,29,S,6,0,28.00,0.0,Fair,2018-12-01
1:00,77,36,22,S,7,0,27.97,0.0,Fair,2018-12-01
2:00,77,39,26,S,6,0,27.94,0.0,Fair,2018-12-01
3:00,77,36,22,S,5,0,27.94,0.0,Fair,2018-12-01
4:00,77,36,22,S,5,0,27.94,0.0,Fair,2018-12-01
5:00,73,41,31,SE,2,0,27.97,0.0,Fair,2018-12-01
6:00,72,41,33,ESE,5,0,27.97,0.0,Fair,2018-12-01
7:00,70,41,35,SE,5,0,27.97,0.0,Fair,2018-12-01
8:00,66,43,43,SE,3,0,28.00,0.0,Fair,2018-12-01
9:00,66,43,43,SSE,3,0,28.00,0.0,Fair,2018-12-01
10:00,63,45,52,CALM,0,0,28.00,0.0,Fair,2018-12-01
11:00,61,48,63,CALM,0,0,27.97,0.0,Fair,2018-12-01
12:00,61,46,59,SE,2,0,27.97,0.0,Fair,2018-12-02
1:00,59,48,67,CALM,0,0,27.94,0.0,Fair,2018-12-02
2:00,59,46,63,ESE,2,0,27.94,0.0,Fair,2018-12-02
3:00,57,48,72,CALM,0,0,27.94,0.0,Fair,2018-12-02
4:00,59,46,63,CALM,0,0,27.94,0.0,Fair,2018-12-02
5:00,57,46,67,WNW,3,0,27.94,0.0,Fair,2018-12-02
6:00,57,46,67,NW,2,0,27.97,0.0,Fair,2018-12-02
7:00,57,46,67,CALM,0,0,27.97,0.0,Fair,2018-12-02
8:00,59,46,63,W,2,0,28.00,0.0,Mostly,2018-12-02
9:00,66,46,49,CALM,0,0,28.02,0.0,Mostly,2018-12-02
10:00,72,39,31,W,3,0,28.00,0.0,Fair,2018-12-02
11:00,75,39,27,NW,5,0,28.00,0.0,Fair,2018-12-02
12:00,79,37,23,NW,5,0,27.97,0.0,Fair,2018-12-02
1:00,79,37,23,N,10,0,27.94,0.0,Fair,2018-12-02
2:00,81,36,20,NNW,7,0,27.91,0.0,Fair,2018-12-02
3:00,81,36,20,N,7,0,27.91,0.0,Fair,2018-12-02
4:00,79,37,23,N,7,0,27.91,0.0,Fair,2018-12-02
5:00,77,36,22,N,6,0,27.91,0.0,Fair,2018-12-02
6:00,72,39,31,N,5,0,27.91,0.0,Fair,2018-12-02
7:00,70,43,38,N,3,0,27.94,0.0,Fair,2018-12-02
8:00,70,39,33,NNE,5,0,27.94,0.0,Fair,2018-12-02
9:00,66,41,40,NE,5,0,27.97,0.0,Fair,2018-12-02
10:00,63,45,52,CALM,0,0,27.97,0.0,Fair,2018-12-02
11:00,61,45,55,CALM,0,0,27.97,0.0,Fair,2018-12-02
12:00,61,46,59,N,2,0,27.94,0.0,Fair,2018-12-03
1:00,61,48,63,N,3,0,27.97,0.0,Fair,2018-12-03
2:00,59,48,67,NW,2,0,27.97,0.0,Fair,2018-12-03
