Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,64,55,73,CALM,0,0,28.02,0.0,Fair,2019-12-01
1:00,64,54,68,ENE,2,0,28.02,0.0,Fair,2019-12-01
2:00,61,54,77,NE,2,0,28.02,0.0,Fair,2019-12-01
3:00,59,54,82,CALM,0,0,28.02,0.0,Fair,2019-12-01
4:00,59,54,82,CALM,0,0,28.02,0.0,Fair,2019-12-01
5:00,59,54,82,CALM,0,0,28.00,0.0,Fair,2019-12-01
6:00,57,54,88,SE,2,0,28.02,0.0,Fair,2019-12-01
7:00,59,54,82,S,2,0,28.02,0.0,Fair,2019-12-01
8:00,64,55,73,SSE,2,0,28.02,0.0,Fair,2019-12-01
9:00,68,54,60,SSE,6,0,28.05,0.0,Fair,2019-12-01
10:00,73,50,44,S,7,0,28.02,0.0,Fair,2019-12-01
11:00,77,48,36,S,8,0,28.00,0.0,Fair,2019-12-01
12:00,79,46,32,SSE,8,0,28.00,0.0,Fair,2019-12-01
1:00,79,45,30,SSE,7,0,27.94,0.0,Fair,2019-12-01
2:00,79,46,32,SE,3,0,27.91,0.0,Fair,2019-12-01
3:00,81,45,28,SSE,7,0,27.91,0.0,Fair,2019-12-01
4:00,79,41,26,S,8,0,27.91,0.0,Fair,2019-12-01
5:00,77,41,28,SSE,7,0,27.91,0.0,Fair,2019-12-01
6:00,73,46,38,SSE,3,0,27.94,0.0,Fair,2019-12-01
7:00,72,46,41,ESE,3,0,27.97,0.0,Fair,2019-12-01
8:00,70,46,43,ESE,2,0,27.97,0.0,Fair,2019-12-01
9:00,68,46,46,SE,3,0,27.94,0.0,Fair,2019-12-01
10:00,66,46,49,SSE,2,0,27.97,0.0,Fair,2019-12-01
11:00,66,45,46,SSE,3,0,27.97,0.0,Fair,2019-12-01
12:00,68,43,40,S,5,0,27.94,0.0,Fair,2019-12-02
1:00,66,45,46,SSE,6,0,27.94,0.0,Fair,2019-12-02
2:00,64,45,49,S,5,0,27.91,0.0,Fair,2019-12-02
3:00,66,45,46,S,7,0,27.91,0.0,Fair,2019-12-02
4:00,63,46,55,S,3,0,27.91,0.0,Fair,2019-12-02
5:00,61,45,55,SSE,5,0,27.91,0.0,Fair,2019-12-02
6:00,59,45,59,SE,3,0,27.91,0.0,Fair,2019-12-02
