Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
12:00,72,64,78,NNE,5,0,27.67,0.0,Fair,2019-04-01
1:00,70,64,83,SSE,2,0,27.64,0.0,Fair,2019-04-01
2:00,72,66,83,WSW,5,0,27.67,0.0,Fair,2019-04-01
3:00,72,64,78,CALM,0,0,27.67,0.0,Fair,2019-04-01
4:00,72,64,78,CALM,0,0,27.67,0.0,Fair,2019-04-01
5:00,72,57,60,WNW,7,0,27.70,0.0,Fair,2019-04-01
6:00,70,54,56,NW,6,0,27.72,0.0,Fair,2019-04-01
7:00,70,41,35,W,6,0,27.75,0.0,Fair,2019-04-01
8:00,72,45,38,WNW,8,0,27.81,0.0,Fair,2019-04-01
9:00,72,39,31,W,13,0,27.83,0.0,Mostly,2019-04-01
10:00,72,36,27,WNW,15,0,27.86,0.0,Partly,2019-04-01
11:00,72,32,23,WNW,10,0,27.83,0.0,Widespread,2019-04-01
12:00,75,30,19,WNW,13,0,27.83,0.0,Widespread,2019-04-01
1:00,75,28,18,NW,14,0,27.81,0.0,Blowing,2019-04-01
2:00,75,28,18,NW,12,0,27.81,0.0,Widespread,2019-04-01
3:00,75,25,15,WNW,14,0,27.78,0.0,Blowing,2019-04-01
4:00,73,23,15,WNW,12,0,27.78,0.0,Widespread,2019-04-01
5:00,73,21,14,WNW,8,0,27.81,0.0,Widespread,2019-04-01
6:00,73,23,15,W,5,0,27.81,0.0,Widespread,2019-04-01
7:00,72,28,20,NNE,7,0,27.83,0.0,Fair,2019-04-01
8:00,70,34,27,NNE,5,0,27.83,0.0,Fair,2019-04-01
9:00,68,36,30,NE,5,0,27.86,0.0,Fair,2019-04-01
10:00,66,36,32,NNE,6,0,27.89,0.0,Fair,2019-04-01
11:00,64,36,34,NNE,7,0,27.86,0.0,Fair,2019-04-01
12:00,64,30,28,E,5,0,27.89,0.0,Fair,2019-04-02
1:00,63,30,30,ENE,3,0,27.86,0.0,Fair,2019-04-02
2:00,63,32,32,ENE,3,0,27.86,0.0,Fair,2019-04-02
3:00,61,30,31,E,3,0,27.89,0.0,Fair,2019-04-02
4:00,61,28,29,E,5,0,27.86,0.0,Fair,2019-04-02
5:00,61,30,31,E,3,0,27.86,0.0,Fair,2019-04-02
6:00,59,28,31,E,2,0,27.86,0.0,Widespread,2019-04-02
7:00,61,30,31,E,3,0,27.86,0.0,Widespread,2019-04-02
8:00,61,30,31,E,6,0,27.89,0.0,Widespread,2019-04-02
9:00,64,28,26,E,9,0,27.91,0.0,Widespread,2019-04-02
10:00,68,28,23,E,8,0,27.91,0.0,Widespread,2019-04-02
11:00,70,27,20,E,12,0,27.89,0.0,Widespread,2019-04-02
12:00,72,28,20,E,9,0,27.89,0.0,Widespread,2019-04-02
1:00,73,25,16,E,9,0,27.86,0.0,Widespread,2019-04-02
2:00,75,25,15,E,9,0,27.83,0.0,Widespread,2019-04-02
3:00,75,28,18,E,9,0,27.81,0.0,Widespread,2019-04-02
4:00,75,32,21,ESE,8,0,27.81,0.0,Widespread,2019-04-02
5:00,75,34,22,ESE,7,0,27.81,0.0,Widespread,2019-04-02
6:00,73,32,22,ESE,10,0,27.81,0.0,Widespread,2019-04-02
